exact_function_signature,function_name,current_public_execute,current_anon_execute,current_authenticated_execute,current_service_role_execute,current_acl_class,call_path_class,public_execute_required,anon_execute_required,authenticated_execute_required,service_role_execute_required,trigger_or_internal_only,proposed_public_action,proposed_anon_action,proposed_authenticated_action,proposed_service_role_action,security_definer_necessity,search_path_lane,breakage_risk,preflight_required,rollback_method
public.cosmoskin_order_points_basis(uuid),cosmoskin_order_points_basis,No,No,No,Yes,Restricted to postgres/service_role,E internal database helper,No,No,No,Owner/trigger or trusted nested caller only,Yes,Preserve closed,Preserve closed,Preserve closed,Retain,Unknown; invoker feasibility is later work,No path change in DB1C-1B1/1B2; defer source/path work to DB1C-1B3,Medium/unknown,"Exact live identity, owner, definition checksum, direct/effective ACL, trigger/nested/external calls, allowed/denied role tests",Restore exact captured pre-change per-signature ACL; source/config only in DB1C-1B3 rollback
public.cosmoskin_promote_due_loyalty_points(integer),cosmoskin_promote_due_loyalty_points,No,No,No,Yes,Restricted to postgres/service_role,C/G service helper; active endpoint/scheduler not found,No,No,No,Yes,No/unproven,Preserve closed,Preserve closed,Preserve closed,Retain,Probably required; verify RLS/cross-table behavior,No path change in DB1C-1B1/1B2; defer source/path work to DB1C-1B3,High,"Exact live identity, owner, definition checksum, direct/effective ACL, trigger/nested/external calls, allowed/denied role tests",Restore exact captured pre-change per-signature ACL; source/config only in DB1C-1B3 rollback
public.cosmoskin_promote_loyalty_for_order(uuid),cosmoskin_promote_loyalty_for_order,No,No,No,Yes,Restricted to postgres/service_role,C service-role backend RPC,No,No,No,Yes,No/unproven,Preserve closed,Preserve closed,Preserve closed,Retain,Probably required; verify RLS/cross-table behavior,No path change in DB1C-1B1/1B2; defer source/path work to DB1C-1B3,High,"Exact live identity, owner, definition checksum, direct/effective ACL, trigger/nested/external calls, allowed/denied role tests",Restore exact captured pre-change per-signature ACL; source/config only in DB1C-1B3 rollback
"public.cosmoskin_reverse_loyalty_for_order(uuid, text, numeric, text)",cosmoskin_reverse_loyalty_for_order,No,No,No,Yes,Restricted to postgres/service_role,C service-role backend RPC,No,No,No,Yes,No/unproven,Preserve closed,Preserve closed,Preserve closed,Retain,Probably required; verify RLS/cross-table behavior,No path change in DB1C-1B1/1B2; defer source/path work to DB1C-1B3,High,"Exact live identity, owner, definition checksum, direct/effective ACL, trigger/nested/external calls, allowed/denied role tests",Restore exact captured pre-change per-signature ACL; source/config only in DB1C-1B3 rollback
"public.create_account_activity(uuid, text, text, text, text, text, jsonb)",create_account_activity,Yes,Yes (effective),Yes (effective),Yes,PUBLIC EXECUTE produces effective API-role exposure,E internal database helper,No,No,No,Owner/trigger or trusted nested caller only,Yes,Remove if preflight confirms no contract,Remove effective/direct privilege,Remove effective/direct privilege,Retain only for proven trusted path,Unknown; invoker feasibility is later work,No path change in DB1C-1B1/1B2; defer source/path work to DB1C-1B3,High,"Exact live identity, owner, definition checksum, direct/effective ACL, trigger/nested/external calls, allowed/denied role tests",Restore exact captured pre-change per-signature ACL; source/config only in DB1C-1B3 rollback
public.get_review_summary(text),get_review_summary,Yes,Yes (effective),Yes (effective),Yes,PUBLIC EXECUTE produces effective API-role exposure,G no active repository RPC; external/legacy use not excluded,No,No,No,Only if trusted operational path is proven,No/unproven,Remove if preflight confirms no contract,Remove effective/direct privilege,Remove effective/direct privilege,Retain only for proven trusted path,Unknown; invoker feasibility is later work,No path change in DB1C-1B1/1B2; defer source/path work to DB1C-1B3,Medium/unknown,"Exact live identity, owner, definition checksum, direct/effective ACL, trigger/nested/external calls, allowed/denied role tests",Restore exact captured pre-change per-signature ACL; source/config only in DB1C-1B3 rollback
public.handle_new_auth_user_profile(),handle_new_auth_user_profile,Yes,Yes (effective),Yes (effective),Yes,PUBLIC EXECUTE produces effective API-role exposure,D confirmed normal-trigger function,No,No,No,Owner/trigger or trusted nested caller only,Yes,Remove if preflight confirms no contract,Remove effective/direct privilege,Remove effective/direct privilege,Retain only for proven trusted path,Probably required; verify RLS/cross-table behavior,No path change in DB1C-1B1/1B2; defer source/path work to DB1C-1B3,High,"Exact live identity, owner, definition checksum, direct/effective ACL, trigger/nested/external calls, allowed/denied role tests",Restore exact captured pre-change per-signature ACL; source/config only in DB1C-1B3 rollback
public.handle_new_user(),handle_new_user,Yes,Yes (effective),Yes (effective),Yes,PUBLIC EXECUTE produces effective API-role exposure,G trigger-returning orphan/legacy candidate,No,No,No,Only if trusted operational path is proven,No/unproven,Remove if preflight confirms no contract,Remove effective/direct privilege,Remove effective/direct privilege,Retain only for proven trusted path,Unknown; invoker feasibility is later work,No path change in DB1C-1B1/1B2; defer source/path work to DB1C-1B3,Medium/unknown,"Exact live identity, owner, definition checksum, direct/effective ACL, trigger/nested/external calls, allowed/denied role tests",Restore exact captured pre-change per-signature ACL; source/config only in DB1C-1B3 rollback
public.handle_new_user_profile(),handle_new_user_profile,Yes,Yes (effective),Yes (effective),Yes,PUBLIC EXECUTE produces effective API-role exposure,D confirmed normal-trigger function,No,No,No,Owner/trigger or trusted nested caller only,Yes,Remove if preflight confirms no contract,Remove effective/direct privilege,Remove effective/direct privilege,Retain only for proven trusted path,Probably required; verify RLS/cross-table behavior,No path change in DB1C-1B1/1B2; defer source/path work to DB1C-1B3,High,"Exact live identity, owner, definition checksum, direct/effective ACL, trigger/nested/external calls, allowed/denied role tests",Restore exact captured pre-change per-signature ACL; source/config only in DB1C-1B3 rollback
public.loyalty_ledger_recalculate_trigger(),loyalty_ledger_recalculate_trigger,Yes,Yes (effective),Yes (effective),Yes,PUBLIC EXECUTE produces effective API-role exposure,D confirmed normal-trigger function,No,No,No,Owner/trigger or trusted nested caller only,Yes,Remove if preflight confirms no contract,Remove effective/direct privilege,Remove effective/direct privilege,Retain only for proven trusted path,Probably required; verify RLS/cross-table behavior,No path change in DB1C-1B1/1B2; defer source/path work to DB1C-1B3,High,"Exact live identity, owner, definition checksum, direct/effective ACL, trigger/nested/external calls, allowed/denied role tests",Restore exact captured pre-change per-signature ACL; source/config only in DB1C-1B3 rollback
"public.process_iyzico_payment_failure(uuid, text, text, jsonb)",process_iyzico_payment_failure,No,No,No,Yes,Restricted to postgres/service_role,C service-role backend RPC,No,No,No,Yes,No/unproven,Preserve closed,Preserve closed,Preserve closed,Retain,Probably required; verify RLS/cross-table behavior,No path change in DB1C-1B1/1B2; defer source/path work to DB1C-1B3,High,"Exact live identity, owner, definition checksum, direct/effective ACL, trigger/nested/external calls, allowed/denied role tests",Restore exact captured pre-change per-signature ACL; source/config only in DB1C-1B3 rollback
"public.process_iyzico_payment_success(uuid, text, text, jsonb)",process_iyzico_payment_success,No,No,No,Yes,Restricted to postgres/service_role,C service-role backend RPC,No,No,No,Yes,No/unproven,Preserve closed,Preserve closed,Preserve closed,Retain,Probably required; verify RLS/cross-table behavior,No path change in DB1C-1B1/1B2; defer source/path work to DB1C-1B3,High,"Exact live identity, owner, definition checksum, direct/effective ACL, trigger/nested/external calls, allowed/denied role tests",Restore exact captured pre-change per-signature ACL; source/config only in DB1C-1B3 rollback
public.recalculate_customer_membership(uuid),recalculate_customer_membership,Yes,Yes (effective),Yes (effective),Yes,PUBLIC EXECUTE produces effective API-role exposure,C service-role backend RPC,No,No,No,Yes,No/unproven,Remove if preflight confirms no contract,Remove effective/direct privilege,Remove effective/direct privilege,Retain,Probably required; verify RLS/cross-table behavior,No path change in DB1C-1B1/1B2; defer source/path work to DB1C-1B3,High,"Exact live identity, owner, definition checksum, direct/effective ACL, trigger/nested/external calls, allowed/denied role tests",Restore exact captured pre-change per-signature ACL; source/config only in DB1C-1B3 rollback
public.recalculate_loyalty_account(uuid),recalculate_loyalty_account,Yes,Yes (effective),Yes (effective),Yes,PUBLIC EXECUTE produces effective API-role exposure,"E/F/G internal, trigger, scheduler, or legacy path; no direct runtime RPC found",No,No,No,Only if trusted operational path is proven,No/unproven,Remove if preflight confirms no contract,Remove effective/direct privilege,Remove effective/direct privilege,Retain only for proven trusted path,Unknown; invoker feasibility is later work,No path change in DB1C-1B1/1B2; defer source/path work to DB1C-1B3,High,"Exact live identity, owner, definition checksum, direct/effective ACL, trigger/nested/external calls, allowed/denied role tests",Restore exact captured pre-change per-signature ACL; source/config only in DB1C-1B3 rollback
"public.recalculate_routine_streak(uuid, date)",recalculate_routine_streak,Yes,Yes (effective),Yes (effective),Yes,PUBLIC EXECUTE produces effective API-role exposure,"E/F/G internal, trigger, scheduler, or legacy path; no direct runtime RPC found",No,No,No,Only if trusted operational path is proven,No/unproven,Remove if preflight confirms no contract,Remove effective/direct privilege,Remove effective/direct privilege,Retain only for proven trusted path,Unknown; invoker feasibility is later work,No path change in DB1C-1B1/1B2; defer source/path work to DB1C-1B3,High,"Exact live identity, owner, definition checksum, direct/effective ACL, trigger/nested/external calls, allowed/denied role tests",Restore exact captured pre-change per-signature ACL; source/config only in DB1C-1B3 rollback
public.refresh_inventory_estimate(uuid),refresh_inventory_estimate,Yes,Yes (effective),Yes (effective),Yes,PUBLIC EXECUTE produces effective API-role exposure,"E/F/G internal, trigger, scheduler, or legacy path; no direct runtime RPC found",No,No,No,Only if trusted operational path is proven,No/unproven,Remove if preflight confirms no contract,Remove effective/direct privilege,Remove effective/direct privilege,Retain only for proven trusted path,Unknown; invoker feasibility is later work,No path change in DB1C-1B1/1B2; defer source/path work to DB1C-1B3,High,"Exact live identity, owner, definition checksum, direct/effective ACL, trigger/nested/external calls, allowed/denied role tests",Restore exact captured pre-change per-signature ACL; source/config only in DB1C-1B3 rollback
public.release_expired_inventory_reservations(integer),release_expired_inventory_reservations,No,No,No,Yes,Restricted to postgres/service_role,C service-role backend RPC,No,No,No,Yes,No/unproven,Preserve closed,Preserve closed,Preserve closed,Retain,Probably required; verify RLS/cross-table behavior,No path change in DB1C-1B1/1B2; defer source/path work to DB1C-1B3,High,"Exact live identity, owner, definition checksum, direct/effective ACL, trigger/nested/external calls, allowed/denied role tests",Restore exact captured pre-change per-signature ACL; source/config only in DB1C-1B3 rollback
"public.release_order_inventory(uuid, text)",release_order_inventory,No,No,No,Yes,Restricted to postgres/service_role,C service-role backend RPC,No,No,No,Yes,No/unproven,Preserve closed,Preserve closed,Preserve closed,Retain,Probably required; verify RLS/cross-table behavior,No path change in DB1C-1B1/1B2; defer source/path work to DB1C-1B3,High,"Exact live identity, owner, definition checksum, direct/effective ACL, trigger/nested/external calls, allowed/denied role tests",Restore exact captured pre-change per-signature ACL; source/config only in DB1C-1B3 rollback
"public.reserve_order_inventory(uuid, jsonb, timestamptz, text)",reserve_order_inventory,No,No,No,Yes,Restricted to postgres/service_role,C service-role backend RPC,No,No,No,Yes,No/unproven,Preserve closed,Preserve closed,Preserve closed,Retain,Probably required; verify RLS/cross-table behavior,No path change in DB1C-1B1/1B2; defer source/path work to DB1C-1B3,High,"Exact live identity, owner, definition checksum, direct/effective ACL, trigger/nested/external calls, allowed/denied role tests",Restore exact captured pre-change per-signature ACL; source/config only in DB1C-1B3 rollback
"public.reserve_product_inventory(text, integer)",reserve_product_inventory,Yes,Yes (effective),Yes (effective),Yes,PUBLIC EXECUTE produces effective API-role exposure,G no active repository RPC; external/legacy use not excluded,No,No,No,Only if trusted operational path is proven,No/unproven,Remove if preflight confirms no contract,Remove effective/direct privilege,Remove effective/direct privilege,Retain only for proven trusted path,Unknown; invoker feasibility is later work,No path change in DB1C-1B1/1B2; defer source/path work to DB1C-1B3,High,"Exact live identity, owner, definition checksum, direct/effective ACL, trigger/nested/external calls, allowed/denied role tests",Restore exact captured pre-change per-signature ACL; source/config only in DB1C-1B3 rollback
public.rls_auto_enable(),rls_auto_enable,Yes,Yes (effective),Yes (effective),Yes,PUBLIC EXECUTE produces effective API-role exposure,G event-trigger orphan/legacy candidate,No,No,No,Only if trusted operational path is proven,No/unproven,Remove if preflight confirms no contract,Remove effective/direct privilege,Remove effective/direct privilege,Retain only for proven trusted path,Unknown; invoker feasibility is later work,No path change in DB1C-1B1/1B2; defer source/path work to DB1C-1B3,Medium/unknown,"Exact live identity, owner, definition checksum, direct/effective ACL, trigger/nested/external calls, allowed/denied role tests",Restore exact captured pre-change per-signature ACL; source/config only in DB1C-1B3 rollback
public.routine_completion_recalculate_trigger(),routine_completion_recalculate_trigger,Yes,Yes (effective),Yes (effective),Yes,PUBLIC EXECUTE produces effective API-role exposure,D confirmed normal-trigger function,No,No,No,Owner/trigger or trusted nested caller only,Yes,Remove if preflight confirms no contract,Remove effective/direct privilege,Remove effective/direct privilege,Retain only for proven trusted path,Probably required; verify RLS/cross-table behavior,No path change in DB1C-1B1/1B2; defer source/path work to DB1C-1B3,High,"Exact live identity, owner, definition checksum, direct/effective ACL, trigger/nested/external calls, allowed/denied role tests",Restore exact captured pre-change per-signature ACL; source/config only in DB1C-1B3 rollback
public.sync_review_helpful_count(),sync_review_helpful_count,Yes,Yes (effective),Yes (effective),Yes,PUBLIC EXECUTE produces effective API-role exposure,D confirmed normal-trigger function,No,No,No,Owner/trigger or trusted nested caller only,Yes,Remove if preflight confirms no contract,Remove effective/direct privilege,Remove effective/direct privilege,Retain only for proven trusted path,Probably required; verify RLS/cross-table behavior,No path change in DB1C-1B1/1B2; defer source/path work to DB1C-1B3,High,"Exact live identity, owner, definition checksum, direct/effective ACL, trigger/nested/external calls, allowed/denied role tests",Restore exact captured pre-change per-signature ACL; source/config only in DB1C-1B3 rollback
