sequence,version_prefix,path,primary_class_code,primary_class,secondary_flags,empty_database_evidence,existing_production_evidence,legacy_treatment,security_or_data_boundary,risk_level
22,20260703,supabase/migrations/20260703_account_runtime_hotfixes.sql,D,Drift-sensitive,manual storage dependency; silent skips,Skips absent preference table,Outcome depends on partial live state,freeze; baseline declares final state,profile/return data,P1
23,20260703,supabase/migrations/20260703_batch1_account_safe_functional_fixes.sql,F,Security-critical,version collision; protected UX4 fields,Creates preference base and own-row RLS,Direct UPDATE boundary remains risky,freeze; baseline captures current state; DB1C-2 forward fixes,RLS and profile integrity,P0
24,20260703,supabase/migrations/20260703_batch3_customer_order_cancellation.sql,B,Production-forward-safe,constraint/data-state sensitive,Requires orders/events,Preflight status vocabulary and rows,freeze; baseline plus future narrow changes,customer order integrity,P1
25,20260704,supabase/migrations/20260704_batch4_loyalty_ledger.sql,F,Security-critical,also drift-sensitive,Requires broad membership/commerce base,Privileged RPCs and ledger invariants,freeze; live final definitions in baseline; DB1C-1 forward hardening,SECURITY DEFINER,P0
26,20260704,supabase/migrations/20260704_h0_live_payment_rpc_hotfix.sql,F,Security-critical,live-state-specific hotfix,Requires exact production vocabulary,Not portable without baseline contract,freeze; final live function lineage captured,SECURITY DEFINER payment/inventory,P0
27,20260704,supabase/migrations/20260704_h0b_release_expired_inventory_patch.sql,E,Superseded/duplicate,superseded by H0c,Requires core objects,Do not use as final function body,freeze; superseded lineage retained,SECURITY DEFINER,P1
28,20260704,supabase/migrations/20260704_h0c_release_expired_pending_status_patch.sql,F,Security-critical,final corrective definition,Requires core objects,Privileged function needs DB1C-1 review,freeze; final live body captured; forward hardening later,SECURITY DEFINER,P0
29,20260704,supabase/migrations/20260704_h1_return_attachment_storage_rls.sql,F,Security-critical,manual bucket/path dependency,Cannot bootstrap bucket by itself,Policy change unsafe without bucket/path proof,"freeze; storage policy in baseline, bucket config separate",storage RLS,P0
30,20260706,supabase/migrations/20260706_d3a_order_item_pricing_snapshot.sql,B,Production-forward-safe,requires order_items,Simple additive patch after core,Needs paid-snapshot data contract verification,freeze; baseline includes columns; future constraints forward,refund integrity,P0
31,20260707,supabase/migrations/20260707_p1c_admin_product_price_editing.sql,F,Security-critical,admin_permissions dependency; version collision,Creates pricing tables but insert fails without RBAC base,Existing production fields live; grants/policies still need proof,freeze; baseline plus DB1C-1 grant review,RLS/admin write boundary,P1
32,20260707,supabase/migrations/20260707_r1g_review_moderation_updated_at_fix.sql,C,Historical/manual dependency,function-name collision risk,Fails because reviews bases are absent from migrations,Unsafe without live trigger/function diff,freeze; manual review schema enters baseline,review moderation and storage,P0
33,20260709,supabase/migrations/20260709_p1e_sale_compare_at_price.sql,B,Production-forward-safe,constraint/data-state sensitive,Requires P1C pricing tables,Preflight existing prices/windows,freeze; baseline captures fields; future constraints forward,admin price integrity,P1
