exact_function_signature,function_name,inventory_scope,repository_identity,live_security_definer,current_public_execute,current_anon_execute,current_authenticated_execute,current_service_role_execute,direct_runtime_rpc,call_path_class,call_path_evidence,normal_trigger_attachment,event_trigger_attachment,search_path_evidence,cron_evidence,runtime_criticality,risk_level,recommended_next_lane,decision
public.cosmoskin_order_points_basis(uuid),cosmoskin_order_points_basis,All 33 live public SECURITY DEFINER functions,Exact repository identity,Yes,No,No,No,Yes,No browser/client or direct runtime RPC found,E internal database helper,No direct repository runtime RPC found; external consumers remain a stop condition,None confirmed,None; supplemental query returned no rows,Repository definition uses public; live aggregate is 22 public / 10 missing / 1 pg_catalog,cron.job unavailable; external scheduling not excluded,Medium/unknown,P1/P2,"DB1C-1B1 ACL, then DB1C-1B3 path",Preserve restricted ACL; verify behavior
public.cosmoskin_promote_due_loyalty_points(integer),cosmoskin_promote_due_loyalty_points,All 33 live public SECURITY DEFINER functions,Exact repository identity,Yes,No,No,No,Yes,Yes; backend/service-role,C/G service helper; active endpoint/scheduler not found,Static runtime RPC mapped through backend service-role helper; no browser/client RPC,None confirmed,None; supplemental query returned no rows,Repository definition uses public; live aggregate is 22 public / 10 missing / 1 pg_catalog,cron.job unavailable; external scheduling not excluded,High,P1/P2,"DB1C-1B1 ACL, then DB1C-1B3 path",Preserve restricted ACL; verify behavior
public.cosmoskin_promote_loyalty_for_order(uuid),cosmoskin_promote_loyalty_for_order,All 33 live public SECURITY DEFINER functions,Exact repository identity,Yes,No,No,No,Yes,Yes; backend/service-role,C service-role backend RPC,Static runtime RPC mapped through backend service-role helper; no browser/client RPC,None confirmed,None; supplemental query returned no rows,Repository definition uses public; live aggregate is 22 public / 10 missing / 1 pg_catalog,cron.job unavailable; external scheduling not excluded,High,P1/P2,"DB1C-1B1 ACL, then DB1C-1B3 path",Preserve restricted ACL; verify behavior
"public.cosmoskin_reverse_loyalty_for_order(uuid, text, numeric, text)",cosmoskin_reverse_loyalty_for_order,All 33 live public SECURITY DEFINER functions,Exact repository identity,Yes,No,No,No,Yes,Yes; backend/service-role,C service-role backend RPC,Static runtime RPC mapped through backend service-role helper; no browser/client RPC,None confirmed,None; supplemental query returned no rows,Repository definition uses public; live aggregate is 22 public / 10 missing / 1 pg_catalog,cron.job unavailable; external scheduling not excluded,High,P1/P2,"DB1C-1B1 ACL, then DB1C-1B3 path",Preserve restricted ACL; verify behavior
"public.create_account_activity(uuid, text, text, text, text, text, jsonb)",create_account_activity,All 33 live public SECURITY DEFINER functions,Live-only/additional identity,Yes,Yes,Yes (effective),Yes (effective),Yes,No browser/client or direct runtime RPC found,E internal database helper,No direct repository runtime RPC found; external consumers remain a stop condition,None confirmed,None; supplemental query returned no rows,Exact live Q2 row controls DB1C-1B3; aggregate is 22 public / 10 missing / 1 pg_catalog,cron.job unavailable; external scheduling not excluded,High,P0/P1 high-risk exposed,DB1C-1B1 ACL review; DB1C-1B3 only after exact Q2/source review,Exact-role least-privilege review required
public.get_review_summary(text),get_review_summary,All 33 live public SECURITY DEFINER functions,Exact repository identity,Yes,Yes,Yes (effective),Yes (effective),Yes,No browser/client or direct runtime RPC found,G no active repository RPC; external/legacy use not excluded,No direct repository runtime RPC found; external consumers remain a stop condition,None confirmed,None; supplemental query returned no rows,No explicit path; unqualified relations confirmed; DB1C-1B3 priority,cron.job unavailable; external scheduling not excluded,Medium/unknown,P1/P2,"DB1C-1B1 ACL, then DB1C-1B3 path",Exact-role least-privilege review required
public.handle_new_auth_user_profile(),handle_new_auth_user_profile,All 33 live public SECURITY DEFINER functions,Exact repository identity,Yes,Yes,Yes (effective),Yes (effective),Yes,No browser/client or direct runtime RPC found,D confirmed normal-trigger function,Live Q8 confirms normal table-trigger attachment,Confirmed by live Q8,None; supplemental query returned no rows,Repository definition uses public; live aggregate is 22 public / 10 missing / 1 pg_catalog,cron.job unavailable; external scheduling not excluded,High,P1/P2,"DB1C-1B2 ACL, then DB1C-1B3 path",Exact-role least-privilege review required
public.handle_new_user(),handle_new_user,All 33 live public SECURITY DEFINER functions,Live-only/additional identity,Yes,Yes,Yes (effective),Yes (effective),Yes,No browser/client or direct runtime RPC found,G trigger-returning orphan/legacy candidate,Returns trigger but live Q8 found no attachment,No attachment confirmed,None; supplemental query returned no rows,Exact live Q2 row controls DB1C-1B3; aggregate is 22 public / 10 missing / 1 pg_catalog,cron.job unavailable; external scheduling not excluded,Medium/unknown,P1/P2,Separate orphan/provenance review; do not drop,Close exposure only after orphan/external review; do not drop
public.handle_new_user_profile(),handle_new_user_profile,All 33 live public SECURITY DEFINER functions,Exact repository identity,Yes,Yes,Yes (effective),Yes (effective),Yes,No browser/client or direct runtime RPC found,D confirmed normal-trigger function,Live Q8 confirms normal table-trigger attachment,Confirmed by live Q8,None; supplemental query returned no rows,Repository definition uses public; live aggregate is 22 public / 10 missing / 1 pg_catalog,cron.job unavailable; external scheduling not excluded,High,P1/P2,"DB1C-1B2 ACL, then DB1C-1B3 path",Exact-role least-privilege review required
public.loyalty_ledger_recalculate_trigger(),loyalty_ledger_recalculate_trigger,All 33 live public SECURITY DEFINER functions,Live-only/additional identity,Yes,Yes,Yes (effective),Yes (effective),Yes,No browser/client or direct runtime RPC found,D confirmed normal-trigger function,Live Q8 confirms normal table-trigger attachment,Confirmed by live Q8,None; supplemental query returned no rows,Exact live Q2 row controls DB1C-1B3; aggregate is 22 public / 10 missing / 1 pg_catalog,cron.job unavailable; external scheduling not excluded,High,P1/P2,DB1C-1B2; DB1C-1B3 only if exact Q2/source review requires,Exact-role least-privilege review required
"public.process_iyzico_payment_failure(uuid, text, text, jsonb)",process_iyzico_payment_failure,All 33 live public SECURITY DEFINER functions,Exact repository identity,Yes,No,No,No,Yes,Yes; backend/service-role,C service-role backend RPC,Static runtime RPC mapped through backend service-role helper; no browser/client RPC,None confirmed,None; supplemental query returned no rows,Repository definition uses public; live aggregate is 22 public / 10 missing / 1 pg_catalog,cron.job unavailable; external scheduling not excluded,High,P1/P2,"DB1C-1B1 ACL, then DB1C-1B3 path",Preserve restricted ACL; verify behavior
"public.process_iyzico_payment_success(uuid, text, text, jsonb)",process_iyzico_payment_success,All 33 live public SECURITY DEFINER functions,Exact repository identity,Yes,No,No,No,Yes,Yes; backend/service-role,C service-role backend RPC,Static runtime RPC mapped through backend service-role helper; no browser/client RPC,None confirmed,None; supplemental query returned no rows,Repository definition uses public; live aggregate is 22 public / 10 missing / 1 pg_catalog,cron.job unavailable; external scheduling not excluded,High,P1/P2,"DB1C-1B1 ACL, then DB1C-1B3 path",Preserve restricted ACL; verify behavior
public.recalculate_customer_membership(uuid),recalculate_customer_membership,All 33 live public SECURITY DEFINER functions,Exact repository identity,Yes,Yes,Yes (effective),Yes (effective),Yes,Yes; backend/service-role,C service-role backend RPC,Static runtime RPC mapped through backend service-role helper; no browser/client RPC,None confirmed,None; supplemental query returned no rows,Repository definition uses public; live aggregate is 22 public / 10 missing / 1 pg_catalog,cron.job unavailable; external scheduling not excluded,High,P0/P1 high-risk exposed,"DB1C-1B1 ACL, then DB1C-1B3 path",Exact-role least-privilege review required
public.recalculate_loyalty_account(uuid),recalculate_loyalty_account,All 33 live public SECURITY DEFINER functions,Live-only/additional identity,Yes,Yes,Yes (effective),Yes (effective),Yes,No browser/client or direct runtime RPC found,"E/F/G internal, trigger, scheduler, or legacy path; no direct runtime RPC found",No direct repository runtime RPC found; external consumers remain a stop condition,None confirmed,None; supplemental query returned no rows,Exact live Q2 row controls DB1C-1B3; aggregate is 22 public / 10 missing / 1 pg_catalog,cron.job unavailable; external scheduling not excluded,High,P0/P1 high-risk exposed,DB1C-1B1 ACL review; DB1C-1B3 only after exact Q2/source review,Exact-role least-privilege review required
"public.recalculate_routine_streak(uuid, date)",recalculate_routine_streak,All 33 live public SECURITY DEFINER functions,Live-only/additional identity,Yes,Yes,Yes (effective),Yes (effective),Yes,No browser/client or direct runtime RPC found,"E/F/G internal, trigger, scheduler, or legacy path; no direct runtime RPC found",No direct repository runtime RPC found; external consumers remain a stop condition,None confirmed,None; supplemental query returned no rows,Exact live Q2 row controls DB1C-1B3; aggregate is 22 public / 10 missing / 1 pg_catalog,cron.job unavailable; external scheduling not excluded,High,P0/P1 high-risk exposed,DB1C-1B1 ACL review; DB1C-1B3 only after exact Q2/source review,Exact-role least-privilege review required
public.refresh_inventory_estimate(uuid),refresh_inventory_estimate,All 33 live public SECURITY DEFINER functions,Live-only/additional identity,Yes,Yes,Yes (effective),Yes (effective),Yes,No browser/client or direct runtime RPC found,"E/F/G internal, trigger, scheduler, or legacy path; no direct runtime RPC found",No direct repository runtime RPC found; external consumers remain a stop condition,None confirmed,None; supplemental query returned no rows,Exact live Q2 row controls DB1C-1B3; aggregate is 22 public / 10 missing / 1 pg_catalog,cron.job unavailable; external scheduling not excluded,High,P0/P1 high-risk exposed,DB1C-1B1 ACL review; DB1C-1B3 only after exact Q2/source review,Exact-role least-privilege review required
public.release_expired_inventory_reservations(integer),release_expired_inventory_reservations,All 33 live public SECURITY DEFINER functions,Exact repository identity,Yes,No,No,No,Yes,Yes; backend/service-role,C service-role backend RPC,Static runtime RPC mapped through backend service-role helper; no browser/client RPC,None confirmed,None; supplemental query returned no rows,Repository definition uses public; live aggregate is 22 public / 10 missing / 1 pg_catalog,cron.job unavailable; external scheduling not excluded,High,P1/P2,"DB1C-1B1 ACL, then DB1C-1B3 path",Preserve restricted ACL; verify behavior
"public.release_order_inventory(uuid, text)",release_order_inventory,All 33 live public SECURITY DEFINER functions,Exact repository identity,Yes,No,No,No,Yes,Yes; backend/service-role,C service-role backend RPC,Static runtime RPC mapped through backend service-role helper; no browser/client RPC,None confirmed,None; supplemental query returned no rows,Repository definition uses public; live aggregate is 22 public / 10 missing / 1 pg_catalog,cron.job unavailable; external scheduling not excluded,High,P1/P2,"DB1C-1B1 ACL, then DB1C-1B3 path",Preserve restricted ACL; verify behavior
"public.reserve_order_inventory(uuid, jsonb, timestamptz, text)",reserve_order_inventory,All 33 live public SECURITY DEFINER functions,Exact repository identity,Yes,No,No,No,Yes,Yes; backend/service-role,C service-role backend RPC,Static runtime RPC mapped through backend service-role helper; no browser/client RPC,None confirmed,None; supplemental query returned no rows,Repository definition uses public; live aggregate is 22 public / 10 missing / 1 pg_catalog,cron.job unavailable; external scheduling not excluded,High,P1/P2,"DB1C-1B1 ACL, then DB1C-1B3 path",Preserve restricted ACL; verify behavior
"public.reserve_product_inventory(text, integer)",reserve_product_inventory,All 33 live public SECURITY DEFINER functions,Exact repository identity,Yes,Yes,Yes (effective),Yes (effective),Yes,No browser/client or direct runtime RPC found,G no active repository RPC; external/legacy use not excluded,No direct repository runtime RPC found; external consumers remain a stop condition,None confirmed,None; supplemental query returned no rows,Repository definition uses public; live aggregate is 22 public / 10 missing / 1 pg_catalog,cron.job unavailable; external scheduling not excluded,High,P0/P1 high-risk exposed,"DB1C-1B1 ACL, then DB1C-1B3 path",Exact-role least-privilege review required
public.rls_auto_enable(),rls_auto_enable,All 33 live public SECURITY DEFINER functions,Live-only/additional identity,Yes,Yes,Yes (effective),Yes (effective),Yes,No browser/client or direct runtime RPC found,G event-trigger orphan/legacy candidate,Supplemental pg_event_trigger query returned no rows,None confirmed,None; supplemental query returned no rows,Exact live Q2 row controls DB1C-1B3; aggregate is 22 public / 10 missing / 1 pg_catalog,cron.job unavailable; external scheduling not excluded,Medium/unknown,P1/P2,Separate orphan/provenance review; do not drop,Close exposure only after orphan/external review; do not drop
public.routine_completion_recalculate_trigger(),routine_completion_recalculate_trigger,All 33 live public SECURITY DEFINER functions,Live-only/additional identity,Yes,Yes,Yes (effective),Yes (effective),Yes,No browser/client or direct runtime RPC found,D confirmed normal-trigger function,Live Q8 confirms normal table-trigger attachment,Confirmed by live Q8,None; supplemental query returned no rows,Exact live Q2 row controls DB1C-1B3; aggregate is 22 public / 10 missing / 1 pg_catalog,cron.job unavailable; external scheduling not excluded,High,P1/P2,DB1C-1B2; DB1C-1B3 only if exact Q2/source review requires,Exact-role least-privilege review required
public.sync_review_helpful_count(),sync_review_helpful_count,All 33 live public SECURITY DEFINER functions,Live-only/additional identity,Yes,Yes,Yes (effective),Yes (effective),Yes,No browser/client or direct runtime RPC found,D confirmed normal-trigger function,Live Q8 confirms normal table-trigger attachment,Confirmed by live Q8,None; supplemental query returned no rows,Exact live Q2 row controls DB1C-1B3; aggregate is 22 public / 10 missing / 1 pg_catalog,cron.job unavailable; external scheduling not excluded,High,P1/P2,DB1C-1B2; DB1C-1B3 only if exact Q2/source review requires,Exact-role least-privilege review required
