exact_signature,function_name,current_public_execute,current_anon_execute,current_authenticated_execute,current_service_role_execute,call_path_class,confirmed_backend_rpc,confirmed_trigger_target,proposed_public_execute,proposed_anon_execute,proposed_authenticated_execute,proposed_service_role_execute,migration_action,rollback_public,rollback_anon,rollback_authenticated,rollback_service_role,evidence_source,risk_level,notes
public.cosmoskin_order_points_basis(uuid),cosmoskin_order_points_basis,no,no,no,yes,B confirmed internal helper,no,no,no,no,no,yes,no_change_verified,no,no_direct_grant,no_direct_grant,yes,Committed DB1C-1A ACL/call-path matrices,medium,Live ACL already satisfies the approved contract; intentionally omitted from migration statements.
public.cosmoskin_promote_due_loyalty_points(integer),cosmoskin_promote_due_loyalty_points,no,no,no,yes,A confirmed backend/service-role RPC,yes,no,no,no,no,yes,no_change_verified,no,no_direct_grant,no_direct_grant,yes,Committed DB1C-1A ACL/call-path matrices,high,Live ACL already satisfies the approved contract; intentionally omitted from migration statements.
public.cosmoskin_promote_loyalty_for_order(uuid),cosmoskin_promote_loyalty_for_order,no,no,no,yes,A confirmed backend/service-role RPC,yes,no,no,no,no,yes,no_change_verified,no,no_direct_grant,no_direct_grant,yes,Committed DB1C-1A ACL/call-path matrices,high,Live ACL already satisfies the approved contract; intentionally omitted from migration statements.
"public.cosmoskin_reverse_loyalty_for_order(uuid, text, numeric, text)",cosmoskin_reverse_loyalty_for_order,no,no,no,yes,A confirmed backend/service-role RPC,yes,no,no,no,no,yes,no_change_verified,no,no_direct_grant,no_direct_grant,yes,Committed DB1C-1A ACL/call-path matrices,high,Live ACL already satisfies the approved contract; intentionally omitted from migration statements.
"public.create_account_activity(uuid, text, text, text, text, text, jsonb)",create_account_activity,yes,yes_effective_via_public,yes_effective_via_public,yes,B confirmed internal helper,no,no,no,no,no,yes,revoke_public_anon_authenticated_preserve_existing_service_role,yes,no_direct_grant,no_direct_grant,yes,Committed DB1C-1A ACL/call-path matrices,high,No browser/client RPC contract found; close API-role exposure and preserve existing service_role pending later review.
public.get_review_summary(text),get_review_summary,yes,yes_effective_via_public,yes_effective_via_public,yes,C/D exposed legacy/internal/operational candidate,no,no,no,no,no,yes,revoke_public_anon_authenticated_preserve_existing_service_role,yes,no_direct_grant,no_direct_grant,yes,Committed DB1C-1A ACL/call-path matrices,high,No browser/client RPC contract found; close API-role exposure and preserve existing service_role pending later review.
public.handle_new_auth_user_profile(),handle_new_auth_user_profile,yes,yes_effective_via_public,yes_effective_via_public,yes,B confirmed normal-trigger function,no,yes,no,no,no,yes,revoke_public_anon_authenticated_preserve_existing_service_role,yes,no_direct_grant,no_direct_grant,yes,DB1C-1A matrices plus supplied live Q2/Q5/Q8 trigger baseline,high,Direct API EXECUTE is unnecessary for an already-attached trigger; preserve function and trigger definitions.
public.handle_new_user(),handle_new_user,yes,yes_effective_via_public,yes_effective_via_public,yes,C trigger/event-trigger orphan candidate,no,no,no,no,no,yes,revoke_public_anon_authenticated_preserve_existing_service_role,yes,no_direct_grant,no_direct_grant,yes,Committed DB1C-1A ACL/call-path matrices,medium,Do not drop or replace; close direct API exposure and retain existing service_role pending legacy review.
public.handle_new_user_profile(),handle_new_user_profile,yes,yes_effective_via_public,yes_effective_via_public,yes,B confirmed normal-trigger function,no,yes,no,no,no,yes,revoke_public_anon_authenticated_preserve_existing_service_role,yes,no_direct_grant,no_direct_grant,yes,DB1C-1A matrices plus supplied live Q2/Q5/Q8 trigger baseline,high,Direct API EXECUTE is unnecessary for an already-attached trigger; preserve function and trigger definitions.
public.loyalty_ledger_recalculate_trigger(),loyalty_ledger_recalculate_trigger,yes,yes_effective_via_public,yes_effective_via_public,yes,B confirmed normal-trigger function,no,yes,no,no,no,yes,revoke_public_anon_authenticated_preserve_existing_service_role,yes,no_direct_grant,no_direct_grant,yes,DB1C-1A matrices plus supplied live Q2/Q5/Q8 trigger baseline,high,Direct API EXECUTE is unnecessary for an already-attached trigger; preserve function and trigger definitions.
"public.process_iyzico_payment_failure(uuid, text, text, jsonb)",process_iyzico_payment_failure,no,no,no,yes,A confirmed backend/service-role RPC,yes,no,no,no,no,yes,no_change_verified,no,no_direct_grant,no_direct_grant,yes,Committed DB1C-1A ACL/call-path matrices,high,Live ACL already satisfies the approved contract; intentionally omitted from migration statements.
"public.process_iyzico_payment_success(uuid, text, text, jsonb)",process_iyzico_payment_success,no,no,no,yes,A confirmed backend/service-role RPC,yes,no,no,no,no,yes,no_change_verified,no,no_direct_grant,no_direct_grant,yes,Committed DB1C-1A ACL/call-path matrices,high,Live ACL already satisfies the approved contract; intentionally omitted from migration statements.
public.recalculate_customer_membership(uuid),recalculate_customer_membership,yes,yes_effective_via_public,yes_effective_via_public,yes,A confirmed backend/service-role RPC,yes,no,no,no,no,yes,revoke_public_anon_authenticated_grant_service_role,yes,no_direct_grant,no_direct_grant,yes,Committed DB1C-1A ACL/call-path matrices,high,Confirmed backend RPC; close public/user roles and explicitly retain service_role.
public.recalculate_loyalty_account(uuid),recalculate_loyalty_account,yes,yes_effective_via_public,yes_effective_via_public,yes,C/D exposed legacy/internal/operational candidate,no,no,no,no,no,yes,revoke_public_anon_authenticated_preserve_existing_service_role,yes,no_direct_grant,no_direct_grant,yes,Committed DB1C-1A ACL/call-path matrices,high,No browser/client RPC contract found; close API-role exposure and preserve existing service_role pending later review.
"public.recalculate_routine_streak(uuid, date)",recalculate_routine_streak,yes,yes_effective_via_public,yes_effective_via_public,yes,C/D exposed legacy/internal/operational candidate,no,no,no,no,no,yes,revoke_public_anon_authenticated_preserve_existing_service_role,yes,no_direct_grant,no_direct_grant,yes,Committed DB1C-1A ACL/call-path matrices,high,No browser/client RPC contract found; close API-role exposure and preserve existing service_role pending later review.
public.refresh_inventory_estimate(uuid),refresh_inventory_estimate,yes,yes_effective_via_public,yes_effective_via_public,yes,C/D exposed legacy/internal/operational candidate,no,no,no,no,no,yes,revoke_public_anon_authenticated_preserve_existing_service_role,yes,no_direct_grant,no_direct_grant,yes,Committed DB1C-1A ACL/call-path matrices,high,No browser/client RPC contract found; close API-role exposure and preserve existing service_role pending later review.
public.release_expired_inventory_reservations(integer),release_expired_inventory_reservations,no,no,no,yes,A confirmed backend/service-role RPC,yes,no,no,no,no,yes,no_change_verified,no,no_direct_grant,no_direct_grant,yes,Committed DB1C-1A ACL/call-path matrices,high,Live ACL already satisfies the approved contract; intentionally omitted from migration statements.
"public.release_order_inventory(uuid, text)",release_order_inventory,no,no,no,yes,A confirmed backend/service-role RPC,yes,no,no,no,no,yes,no_change_verified,no,no_direct_grant,no_direct_grant,yes,Committed DB1C-1A ACL/call-path matrices,high,Live ACL already satisfies the approved contract; intentionally omitted from migration statements.
"public.reserve_order_inventory(uuid, jsonb, timestamptz, text)",reserve_order_inventory,no,no,no,yes,A confirmed backend/service-role RPC,yes,no,no,no,no,yes,no_change_verified,no,no_direct_grant,no_direct_grant,yes,Committed DB1C-1A ACL/call-path matrices,high,Live ACL already satisfies the approved contract; intentionally omitted from migration statements.
"public.reserve_product_inventory(text, integer)",reserve_product_inventory,yes,yes_effective_via_public,yes_effective_via_public,yes,C/D exposed legacy/internal/operational candidate,no,no,no,no,no,yes,revoke_public_anon_authenticated_preserve_existing_service_role,yes,no_direct_grant,no_direct_grant,yes,Committed DB1C-1A ACL/call-path matrices,high,No browser/client RPC contract found; close API-role exposure and preserve existing service_role pending later review.
public.rls_auto_enable(),rls_auto_enable,yes,yes_effective_via_public,yes_effective_via_public,yes,C trigger/event-trigger orphan candidate,no,no,no,no,no,yes,revoke_public_anon_authenticated_preserve_existing_service_role,yes,no_direct_grant,no_direct_grant,yes,Committed DB1C-1A ACL/call-path matrices,medium,Do not drop or replace; close direct API exposure and retain existing service_role pending legacy review.
public.routine_completion_recalculate_trigger(),routine_completion_recalculate_trigger,yes,yes_effective_via_public,yes_effective_via_public,yes,B confirmed normal-trigger function,no,yes,no,no,no,yes,revoke_public_anon_authenticated_preserve_existing_service_role,yes,no_direct_grant,no_direct_grant,yes,DB1C-1A matrices plus supplied live Q2/Q5/Q8 trigger baseline,high,Direct API EXECUTE is unnecessary for an already-attached trigger; preserve function and trigger definitions.
public.sync_review_helpful_count(),sync_review_helpful_count,yes,yes_effective_via_public,yes_effective_via_public,yes,B confirmed normal-trigger function,no,yes,no,no,no,yes,revoke_public_anon_authenticated_preserve_existing_service_role,yes,no_direct_grant,no_direct_grant,yes,DB1C-1A matrices plus supplied live Q2/Q5/Q8 trigger baseline,high,Direct API EXECUTE is unnecessary for an already-attached trigger; preserve function and trigger definitions.
