issue_id,area,surface,severity,type,observed_problem,suspected_root_cause,files_likely_involved,db_tables_likely_involved,user_impact,recommended_batch,acceptance_criteria
E1-04,favorites,sync efficiency,P2,performance,"Every favorite toggle POSTs entire list item-by-item plus auth.updateUser","saveFavoritesToAccount loops all favorites","assets/app.js,functions/api/account/favorites.js","user_favorites","Slow/racy sync; request spam","E1","Single delta request per toggle (or bulk endpoint); no metadata write per toggle"
E1-05,favorites,heart icon,P2,visual,"Heart glyph sits slightly off-centre in its 44px circle (crooked perception); 3 duplicate .favorite-btn CSS blocks with different sizes/z-index","Asymmetric SVG path in 24px viewBox; CSS drift across phases (style.css:2251/2340/2383)","assets/app.js,assets/style.css","-","Sub-premium cards","E1","Single .favorite-btn block; optically centered heart verified at PLP/PDP/search/bestsellers/recs"
E1-06,favorites,guest gating,P3,product-decision,"Guests can favorite (local-only) while ensureFavoriteAuth login-guard exists unused","Intent divergence between phases","assets/app.js","user_favorites","Favorites lost when guest clears storage; inconsistent expectations","E1","Decide: guest favorites kept with login-merge (current) or login-gated; dead code removed"
E2-01,membership,production state,P1,verification,"Tier system code-complete but customer_membership_status/RPC/cron live state unverified","Migrations exist; apply-state and cron scheduling unconfirmed","functions/api/_lib/loyalty-config.js,functions/api/cron/recalculate-memberships.js","customer_membership_status,customer_membership_history,membership_levels,loyalty_points_ledger","Tier could show Essential for everyone if RPC missing","E2/DB1","SQL verification passes; a paid order moves spend/tier; cron schedule confirmed in Cloudflare"
E2-02,membership,admin visibility,P3,feature-gap,"No dedicated admin surface for customer tier review","Not built","assets/admin-customers.js,functions/api/admin/customers.js","customer_membership_status","Support cannot answer tier questions quickly","E2","Admin customers view shows tier + lifetime spend + qualifying orders"
E3-01,crm,brevo contact sync,P1,functional,"Brevo contact upsert only fires in iyzico-callback; bank-transfer customers never sync; /api/brevo-sync has no caller","Sync call not wired into create-checkout/commerce-finalization","functions/api/create-checkout.js,functions/api/_lib/commerce-finalization.js,functions/api/brevo-sync.js","crm_events,newsletter_subscribers","Most customers absent from CRM lists/segments","E3","All completed orders (both payment paths) upsert Brevo contact with segments; sync failures logged"
E3-02,crm,abandoned cart,P2,feature-gap,"No abandoned-cart event, storage or email anywhere","Never built","functions/api/_lib/crm-events.js (extend)","cart_sessions (new),crm_events","Lost recovery revenue","E3","Cart snapshot + abandoned_cart event model designed; email flow via Brevo automation"
E3-03,crm,unsubscribe,P1,compliance,"No unsubscribe token/endpoint; Brevo unsubscribes not synced back; double opt-in absent (confirmed_at set immediately)","Not built","functions/api/newsletter/subscribe.js,functions/api/_lib/brevo.js","email_unsubscribe_tokens (new),newsletter_subscribers,consent_records","KVKK/ETK exposure; stale subscriber lists","E3","One-click unsubscribe link in emails; status synced to newsletter_subscribers+consent_records; opt-in policy decided and implemented"
E3-04,crm,segments,P3,feature-gap,"Segment tags first_order/vip/interested_brand/abandoned_cart not produced; birthday not synced to Brevo attributes","deriveCommerceSegments scope","functions/api/_lib/brevo.js","crm_events,profiles","Weaker campaign targeting","E3","Segment map extended; birthday attribute synced with consent"
UX5-01,checkout,desktop header,P1,visual,"Unstyled artifact top-left: raw COSMOSKIN text + floating 4 badge above announcement bar (local repro; verify prod)","Mobile-redesign header fragments render before CSS gate on checkout-premium-page","assets/mobile-redesign.js,assets/cosmoskin-mobile-redesign-v1.js,checkout.html","-","Broken-looking checkout header","UX5","No unstyled fragments at any width on checkout; verified on production"
UX5-02,checkout,price-changed message,P2,ux-copy,"price_changed message shown with success (green) styling in one path","checkout-flow.js:899 setStatus(...,'success')","assets/checkout-flow.js","-","Price increase can read as good news","UX5","Repriced state uses neutral/warning tone in both paths"
UX5-03,cart page,recommendations,P2,visual,"Stock pill rendered twice per recommendation card (under title and in CTA slot)","stockBadge + CTA replacement both render state","assets/master-upgrade.js","product_inventory","Unpolished look","UX5","One stock indicator per card; CTA hidden or disabled cleanly"
UX5-04,checkout,invoice reuse,P3,feature-gap,"Corporate/invoice details re-entered each order; not saved as reusable billing profile","No billing-profile store","assets/checkout-flow.js,functions/api/account/addresses.js","user_addresses (type=billing)","Friction for repeat corporate buyers","UX5","Billing details savable and selectable like delivery addresses"
DB1-01,database,schema provenance,P1,infrastructure,"user_favorites/notifications/shipments/reviews/review_images/review_helpful/support_requests DDL live outside supabase/migrations (commerce-schema.sql, schema.sql, reviews.sql, FINAL_LAUNCH fix)","Early-phase schema files never folded into migrations","supabase/commerce-schema.sql,supabase/schema.sql,supabase/reviews.sql,COSMOSKIN_FINAL_LAUNCH_SUPABASE_FIX_20260701.sql","user_favorites,notifications,shipments,reviews,review_images,review_helpful,support_requests","Unknown production drift; risky future migrations","DB1","Read-only verification run; missing objects added via new idempotent migrations; schema files reconciled"
DB1-02,database,profiles columns,P1,verification,"profiles.birthday/birthday_change_count/birthday_last_changed_at/birth_date_locked and 4 opt-in columns unverified in production","Same provenance issue","supabase/migrations/*,functions/api/account/profile.js","profiles","Birth date field may silently no-op","DB1","information_schema check passes; else additive migration prepared"
DB1-03,database,crm tables,P2,verification,"crm_events/newsletter_subscribers/consent_records/notification_preferences apply-state unverified; crm_sync_logs & email_unsubscribe_tokens missing by design","Phase3 migration exists but unconfirmed","supabase/migrations/20260511_phase3_compliance_crm_security.sql","crm_events,newsletter_subscribers,consent_records,notification_preferences","CRM writes may be failing silently (all inserts are .catch(()=>null))","DB1","Verification queries confirm tables+RLS; silent catch paths get error logging"
QA1-01,qa,automation,P2,process,"No browser-level smoke tests; C3 regression (cartHasItems) shipped despite validator suite because validators are static-only","Validator scripts grep code, never execute pages","scripts/validate-*.mjs","-","Runtime regressions reach production","QA1","Playwright smoke suite: home/PLP/PDP/cart/drawer/checkout/account render with zero console errors; cart drawer coupon flow exercised headlessly in CI"
